process_step,total,汽车制造业,文教、工美、体育和娱乐用品制造业,电气机械和器材制造业,专用设备制造业,非金属矿物制品业,食品制造业,通用设备制造业,铁路、船舶、航空航天和其他运输设备制造业,医药制造业,纺织业,有色金属冶炼和压延加工业,皮革、毛皮、羽毛及其制品和制鞋业,化学纤维制造业,农副食品加工业,酒、饮料和精制茶制造业
包装,23,1,0,0,1,2,2,0,0,1,1,1,0,1,0,1
原料入库,16,0,0,0,2,0,2,0,0,1,1,1,0,2,0,1
检测,14,1,0,0,0,1,0,3,2,0,0,3,0,0,0,0
设备维护,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
总装,13,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0
检验,12,0,0,0,2,4,0,0,0,0,3,0,0,0,0,0
配料称量,10,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1
质检,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
灌装,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5
成品出库,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
功能测试,8,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0
采掘作业,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
检测测试,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
涂装,7,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
破碎筛分,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
设备巡检,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
包装入库,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
码垛,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
成型,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
装配,6,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
清洗,6,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
人工拆解,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
成品入库,5,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
缝制加工,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
搬运码垛,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
熔炼,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
选别作业,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
矿石运输,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
选矿,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
采掘装载,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
人工分拣,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
设备维护检修,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
管网输配,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
外观检测,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
日常巡检,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
储存,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
压片灌装,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
卷绕成型,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
外观检验,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
装箱,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1
吹炼熔炼,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
电解,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
洗选加工,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
热处理,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
部件装配,4,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
整机装配,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
整车检测,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
组装,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
印刷,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
印后加工,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
常减压蒸馏,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
反应合成,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
聚合反应,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
内包装,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
